설치일,행정동,버스정류소명,아이디,크기
2022-05-20,송정동,군자교남단,4216,소형
2022-05-20,금호4가동,금호역(금호터널입구방면),4155,소형
2022-05-20,금호4가동,금호역(마을버스종점),4764,소형
2020-07-31,옥수동,금호역(현대아파트),4156,중형
2022-05-20,행당2동,논골신협대림아파트후문,4560,소형
2022-05-20,성수1가2동,뚝섬역 2번출구,4237,소형
2022-05-20,성수1가2동,뚝섬역 4번출구,4239,소형
2020-12-18,성수1가2동,뚝섬역3번5번출구(성수역),4238,중형
2022-05-20,마장동,마장역,4117,소형
2020-12-18,마장동,마장축산물시장(도선사거리),4120,중형
2020-12-18,마장동,마장축산물시장(동대문구청.용두역3번출구),4119,중형
2020-12-18,행당2동,무학여고(행당신동아.행당푸르지오아파트),4132,중형
2022-05-20,금호1가동,삼성래미안아파트앞,4160,소형
2020-12-18,왕십리2동,상왕십리역(왕십리2동주민센터),4101,중형
2020-07-31,왕십리도선동,상왕십리역(왕십리센트라스아파트),4102,중형
2022-05-20,성수1가2동,상원,4187,소형
2022-05-20,성수1가1동,서울숲(뚝도아리수정수센터방면),4178,소형
2020-12-18,성수1가1동,서울숲(성동구민종합체육센터),4177,중형
2021-07-29,성수1가2동,성동교남단(한양대정문앞),4185,중형
2022-05-20,마장동,성동구도시관리공단,4600,소형
2021-07-29,성수1가2동,성동구민종합체육센터(서울숲),4180,중형
2020-07-31,행당1동,성동구청(도선사거리),4111,중형
2022-01-07,행당1동,성동구청(도선사거리방면),4574,소형
2022-05-20,마장동,성동노인복지관,4118,소형
2022-05-20,마장동,"성동사회복지관,청계천박물관",4595,소형
2020-07-31,송정동,성동세무서(제인병원),4213,중형
2022-05-20,성수2가3동,성수사거리,4257,소형
2020-07-31,성수2가1동,성원중성수동이마트앞(성수공고앞),4198,중형
2020-12-18,송정동,송정동건영아파트(송정동서울숲아이파크),4215,중형
2021-07-29,송정동,송정동현대아이파크아파트(송정동자치회관),4500,중형
2020-07-31,"금호2,3가동","신금호역(금호고등학교,금호자이1차아파트입구)",4146,중형
2022-05-20,용답동,신답역,4217,소형
2020-07-31,옥수동,옥수삼성아파트.래미안옥수리버젠(극동그린아파트앞),4162,중형
2020-12-18,행당1동,왕십리광장.왕십리역4번출구(무학여고),4302,중형
2021-07-29,왕십리도선동,왕십리센트라스아파트(성동고등학교),4103,중형
2020-12-18,용답동,용답동.로데오거리.답십리역(서울교통공사.서울새활용플라자),4218,중형
2020-07-31,응봉동,응봉동주민센터(응봉사거리),4138,중형
2020-07-31,행당2동,응봉사거리(무학여고앞),4140,중형
2021-07-29,응봉동,응봉현대아파트(삼성래미안아파트앞),4142,중형
2022-05-20,송정동,제인병원,4211,소형
2021-07-29,왕십리도선동,코스모타워.서울신용보증재단성동지점(상왕십리역),4110,중형
2022-05-20,사근동,"한양대앞,한양시장",4127,소형
2020-07-31,사근동,한양대정문앞(서울숲삼부아파트),4130,중형
2020-12-18,행당2동,행당역(대림아파트후문),4280,중형
2021-07-29,행당2동,행당역(행당2동주민센터),4279,중형
2020-12-18,성수2가3동,화양사거리(성수초등학교),4207,중형
2022-05-20,금호4가동,힐스테이트서울숲리버아파트,4159,소형
